episode,reward,critic_loss,actor_loss,alpha
0,17.47552,165.51320139567056,-6.358885765075684,0.16024743020534515
1,27.381830769230763,90.37204462687174,-4.994608561197917,0.1602330058813095
2,42.08562435897435,75.70252304077148,-2.9861030101776125,0.16021858155727386
3,16.182008333333332,64.79130401611329,-2.5137397170066835,0.16020417213439941
4,28.448558333333338,56.51946818033854,-2.7621057629585266,0.16018974781036377
5,51.93893,52.54484227498372,-3.4791410168011985,0.16017533838748932
6,21.39084666666667,47.71989135742187,-4.289528314272562,0.16016091406345367
7,48.965125,43.597758229573564,-5.090466793378194,0.16014651954174042
8,43.39316190476191,42.6215638478597,-6.13302583694458,0.16013211011886597
9,5.258412280701753,40.521030807495116,-7.487741947174072,0.1601177155971527
10,12.781488333333332,38.606071090698244,-7.804632409413656,0.16010330617427826
11,31.355850000000004,38.94531504313151,-8.778170347213745,0.1600888967514038
12,35.15967666666668,37.20437971750895,-9.754471047719319,0.16007450222969055
13,21.657440476190477,37.228111521402994,-10.337015946706137,0.1600601226091385
14,9.333275,36.743238576253255,-11.352106348673503,0.16004574298858643
15,31.3130434065934,38.194362767537434,-12.076382891337078,0.16003133356571198
16,31.708675,39.955757013956706,-13.212192217508951,0.16001692414283752
17,26.78249564102564,43.6824644724528,-13.776017729441325,0.16000252962112427
18,32.54945,42.1220640818278,-14.497485001881918,0.159988135099411
19,30.34208333333334,42.879952875773114,-15.3393936475118,0.15997372567653656
20,34.99351333333334,41.69111048380534,-15.810862032572429,0.1599593311548233
21,41.654126968864475,41.93185806274414,-16.295863723754884,0.15994495153427124
22,37.622728571428574,47.10788180033366,-16.96937278111776,0.15993057191371918
23,21.267530677655675,48.24425532023112,-18.21893196105957,0.1599162071943283
24,57.30351818181818,48.727694829305015,-18.632326889038087,0.15990181267261505
25,14.809983333333337,52.16805076599121,-19.348296292622884,0.1598874181509018
26,7.919700000000002,51.242865626017256,-20.174533462524415,0.15987302362918854
27,30.70311666666667,50.368233108520506,-20.788960647583007,0.15985862910747528
28,41.06112333333332,51.99669621785482,-21.30727507273356,0.15984420478343964
29,67.68416888888889,54.75498975118001,-22.232831764221192,0.159829780459404
30,22.02868141025641,84.54057846069335,-22.88734531402588,0.15981535613536835
31,16.846191666666666,101.809752146403,-23.71672115325928,0.1598009318113327
32,38.225366666666666,76.0172976175944,-24.39308261871338,0.15978652238845825
33,19.625479999999996,78.83233006795247,-24.673262278238933,0.159772127866745
34,31.899983333333328,96.37062403361003,-25.347167650858562,0.15975771844387054
35,20.699781666666663,83.10452880859376,-26.06498317718506,0.1597433090209961
36,44.50776666666664,101.40547574361166,-26.831701787312827,0.15972894430160522
37,18.938593333333337,82.90551872253418,-27.369273503621418,0.15971456468105316
38,20.089433333333332,96.00557289123535,-28.158349736531576,0.1597001850605011
