片名, 票房(万元)
敦煌女儿（沪剧）,74.82
数码宝贝大冒险：最后的进化,12497.57
断·桥,23263.75
断线之后,8.27
断网,6333.62
新喜剧之王,62720.80
新大头儿子和小头爸爸4：完美爸爸,8588.83
新大头儿子和小头爸爸5：我的外星朋友,8254.10
新大头儿子和小头爸爸6：迷你大冒险,2773.81
新愚公移山,184.04
新灰姑娘2,3158.22
新猪猪侠大电影·超级赛车,5360.22
新神榜：哪吒重生,45173.20
新神榜：杨戬,54593.54
新蝙蝠侠,15758.22
新铁弓缘（戏曲 京剧）,1.21
新龙门客栈（舞台纪录电影·越剧）,546.76
方寸之爱,1.82
无价之宝,13741.41
无名,92897.65
无名故事,42.95
无地自容,7.18
无尽攀登,272.39
无影之镜,10.91
无所不能,3421.56
无线信号,62.98
无罪谋杀：科林尼案,433.65
无翅飞翔,34.45
无臂七子,9.66
无辜囚徒,17.48
无音之乐,2.03
日不落酒店,2008.52
日光之下,103.92
日夜江河,104.77
日常幻想指南,2469.61
日暮,46.93
日照妮儿,9.07
旦后,106.72
早安公主,2036.96
旺卡,5325.72
旺扎的雨靴,18.24
昆仑兄弟,556.54
昆岗的号角,6.66
昆虫总动员2：来自远方的后援军,1622.63
明天会好的,3043.18
明天你是否依然爱我,6910.22
明日之战,12373.09
明日战记,61113.64
星愿,4258.76
星星去火星,49.51
星月夜,10.48
星溪的三次奇遇,684.23
星球人,1.76
星球大战：天行者崛起,11893.24
星际侠探,38.38
星际探索,2287.21
春天的麻雀,4.07
春水繁星,2.14
昨日奇迹,121.86
普罗米亚,1978.04
普通男女,106.09
晴雅集,42342.29
智爱2026,4.43
暑期何漫漫,2.87
暗恋·橘生淮南,13539.53
暗杀风暴,7757.32
暗语者,35.24
暴风,3891.60
曾经炽热的我们,92.16
曾经相爱的我们,3602.40
替身纸人,453.62
替身纸人2,385.84
最佳导演,6.15
最佳男友进化论,1951.64
最初的梦想,1817.48
最可爱的人,232.97
最后58天,65.47
最后一刻,8.08
最后一夜,4.06
最后一间房,1370.40
最后的勇士,65.99
最后的心事,6.64
最后的真相,5218.07
最后的里程,620.72
最后的，最初的,147.05
最好的我们,41567.12
最好的相遇,1698.01
最爱的你,2.73
最美的地方遇见你,19.37
最近最远的你,0.85
最近的远方,1.41
最遗憾是错过你,1185.25
最长1枪,806.14
月光武士,194.06
月半爱丽丝,2830.99
月照秋河,402.80
月球陨落,15081.85
有一点动心,1427.01
有你真好！,165.16
有戏了,2.77
有钱特烦恼,24.38
望道,6034.71
朝云暮雨,1857.33
朝华,163.47
朝花夕誓：于离别之朝束起约定之花,1698.24
朝颜,67.30
木兰：横空出世,40.83
木奖杯,1.16
未来机器城,1674.60
未来的你,5.65
未来的未来,996.14
未知嫌疑人,140.34
末日逃生,3423.70
末路囧徒,2.13
末路狂花钱,78146.75
末路迷途,10.49
朱同在三年级丢失了超能力,1488.79
朱英国,4.00
机动战士高达NT,857.25
机器人之梦,1160.02
杀掉那个魔术师,297.10
李夏·在路上,18.54
李畋传奇,15.47
李茂扮太子,46222.31
村头村尾,57.29
村官不难当,5.05
村里来了个洋媳妇,1.47
村里的年轻人,5.31
村里那些事,5.83
村长打工,2.31
来处是归途,8.09
来日皆方长,16.83
来福大酒店,3093.38
来者何人,14.69
来自异乡的女人,1.44
来自汪星的你,592.03
杨蓉的世界,1.95
杨门女将之女将初征,75.06
杨靖宇,137.47
极南之地,240.12
极寒之城,631.19
极寒风暴,84.56
极度危机,272.90
极盗行动,144.19
极速保镖,207.21
极速车王,1561.34
极速阻击,1.01
极限奇援,3.52
极限父子,44.79
极限速递,6.21
林深时见麓,2.50
枪上膛,0.72
某日某月,33.82
柔情史,22.05
查拳风云,1.46
柬爱,14.76
柳浪闻莺,298.06
柳青,339.62
校园神探,88.67
格桑花之爱在前行,11.98
格萨尔藏戏,1.16
桂香街,909.94
桃李无言,30.56
梅根,2229.22
梅艳芳,11251.96
梦境人生,733.83
梦境俏佳人,223.25
梦境历险记,31.01
梦想之城,120.11
梦想之战：踢球吧阿妹,10.53
梦想森林,5.08
梦醒黄金城,4.95
梦里回到昨天,3.77
梧桐树,10.10
梭梭草,3.40
检察方的罪人,1336.88
检察风云,6156.44
棉花糖和云朵妈妈1宝贝芯计划,1211.62
棒！少年,697.63
森巴幸福岛之我要回家,36.59
森林奇缘,766.68
森林飞侠,40.45
楠溪之恋,1.75
榫卯,19.86
樟帮,4.66
横山游击队,4.31
横财局中局,466.60
樱桃崮下,38.79
樵夫·廖俊波,173.28
橙妹儿的时代,70.60
橡树餐厅,51.81
欢乐丛林之外星人大冒险,385.29
欢迎来到我身边,4374.06
欢迎来北方2,84.44
欲念游戏,747.21
歌唱动荡的青春,20.29
歌声的翅膀,2262.56
歌带你回家,324.84
此情可问天,101.47
此时此刻·2019大阅兵,83.77
此生有约,21.28
步步为营,20.45
武圣关公,23.08
武林孤儿,20.44
武汉日夜,2338.95
武陵山上的星光,708.07
死侍2：我爱我家,28438.04
死侍与金刚狼,42575.31
死寂逃亡,985.07
死无对证,2906.41
殊途陌路,10.50
残香无痕,1.74
母亲的直觉,206.46
毒液：最后一舞,67990.40
毒舌律师,18274.81
毒蜂,35.56
比得兔2：逃跑计划,19776.72
比悲伤更悲伤的故事,95695.47
毕业旅行之逍遥骑士,15.35
毕业的我们,347.27
毕业第一年,5.84
毛泽东在才溪,78.69
气·球,648.97
水让我重生,6.95
水边维纳斯,52.96
永不妥协,207.34
永不沉默,8.39
永不消逝的电波（舞台纪录电影·舞剧）,200.80
永不独行,40.85
永安镇故事集,300.79
永远不会走,5.08
永远是少年,651.36
汉文皇后,53.22
汝海风云,22.94
江南,401.12
江南：在爱开始的地方等你,304.06
江城1943,4.59
江水无声,13.45
江海儿女,33.93
江海渔童之巨龟奇缘,109.52
江湖喜事,26.43
江米儿,10.51
江豚·风时舞,755.43
汪汪队立大功之超能救援,7726.36
汪汪队立大功大电影,8253.31
汪汪队立大功大电影2：超能大冒险,13568.47
沂蒙之恋,9.45
沂蒙老兵,9.92
沉睡魔咒2,34518.21
沉默的证人,18052.99
沉默的雪,25.93
沉默笔录,135.73
沉默高原,5.57
沐浴之王,40141.70
沙丘,25384.23
沙丘2,35220.85
沙漏,2906.60
没有一顿火锅解决不了的事,4131.69
没有说出的秘密,4.78
没有过不去的年,5071.60
没有颜色的关系,4.25
河边的错误,30409.96
沼泽深处的女孩,780.61
波依拉,5.77
波斯语课,3588.59
波西米亚狂想曲,9641.47
泪光中的妈妈,48.70
泰勒·斯威夫特：时代巡回演唱会,9780.72
泰味儿,9.68
泳者之心,912.19
洋子的困惑,30.32
活着唱着,47.19
流水落花,25.83
流浪地球,466160.42
流浪地球2,401956.36
流浪地球2：再次冒险,47.66
流浪地球：飞跃2020特别版,417.48
流浪猫鲍勃2：鲍勃的礼物,1475.68
测谎人,2788.04
济公之降龙降世,3826.87
浏阳河上,5.22
浙南儿女英雄传之热血长虹,40.03
浪漫的断章,16.69
浴火之路,46237.46
浴血反击,14.35
浴血大别山,80.04
浴血誓言,27.24
浴血阻击,15.72
海上浮城,45.79
海上钢琴师,14263.37
海关战线,12881.20
海兽之子,1629.83
海安舅舅,7.27
海市蜃楼,11026.07
海底小纵队：洞穴大冒险,5498.32
海底小纵队：火焰之环,3386.32
海林都,4653.94
海洋传奇,24.99
海洋奇缘2,7888.39
海湾之遇,58.76
海王2：失落的王国,46190.85
海生稻香,1.94
海的尽头是草原,3593.20
海绵宝宝：拯救比奇堡,3223.36
海草,1.74
海蒂和爷爷,2037.50
海门深处,124.46
海风吹过零丁洋,7.47
涅槃重生,11.11
消失的丙察察,39.59
消失的她,348813.47
消失的收藏家,64.54
消失的木偶,283.41
涉过愤怒的海,54701.21
深城树下,4.04
深夜食堂,2417.65
深宅迷案,555.97
深海,91373.83
深海危机,190.80
深海特攻队之超能晶石,248.17
深爱,535.07
混沌行走,663.90
清晨车站,63.64
清道夫,6.03
清风的味道,1.33
温暖之城之红日亭,23.04
温暖的抱抱,86409.68
温暖的桥,5.84
温柔壳,1714.34
温泉屋的小老板娘,891.34
港珠澳大桥,691.97
游戏人生 零,1395.76
渼陂,54.26
湘江1934·向死而生,36.04
满江红,454222.61
演员,317.80
漫城,47.17
漫游,47.71
漫漫寻子路,19.75
漫长的告别,90.17
漫长的告白,630.11
潜艇总动员：地心游记,593.21
潜艇总动员：外星宝贝计划,2157.36
潜艇总动员：寻龙,3240.39
潜艇总动员：环游地球80天,3689.30
潜行,38690.14
潜行者,47.45
潮汕风云,8.26
灌篮高手,63022.57
灌篮高手的契约,3.46
火凤重天,0.00
火山地狱,1003.70
火山挚恋,630.17
火影忍者剧场版：忍者之路,3023.71
火红青春,13.55
灭绝,1598.91
灯塔,1.75
灰犀牛,2.82
灰猴,307.20
灵魂电台,40.81
灵魂的救赎,60.43
灶神来了,13.92
灿烂的她,9531.74
点点星光,622.98
烈日殊途,12.42
烈火英雄,164737.25
烈焰卫士,96.03
烈焰危情,1.66
烟火人间,75.84
热带往事,6395.95
热搜,6277.77
热气球飞行家,2114.01
热汤,13.56
热烈,78632.45
热血合唱团,7000.32
热血燃烧,116.65
热辣滚烫,345104.21
烽火塘田,45.36
焚城,24198.66
焚情,101.54
煎饼果子来一套,20.81
煞面迷影,239.90
照明商店,24212.63
煽疯点火,10.16
熊出没·伴我“熊芯”,147750.30
熊出没·原始时代,67695.18
熊出没·狂野大陆,55839.61
熊出没·逆转时空,197995.72
熊出没·重返地球,95400.42
熊猫计划,30760.04
燃冬,2594.04
燃点,817.67
燃烧的巴黎圣母院,99.38
燃烧的玫瑰湖,2.67
燃野少年的天空,16045.91
爆款好人,2702.51
爆裂点,9296.23
爆裂鼓手,224.95
爱·之痕,18.23
爱你很久很久,1908.52
爱在井冈,20.65
爱在长征,4.89
爱在陇南,51.51
爱在零纬度,26.80
爱宠大机密2,15415.98
爱很美味,1074.33
爱情呼叫等待,59.73
爱情图鉴之暗恋,6.95
爱情天梯,5.36
爱情对话框,2.73
爱情拯救联盟,189.51
爱情来时,47.90
爱情的代驾,60.72
爱情神话,26001.30
爱情诅咒,5.20
爱情，到此为止,174.56
爱我长城,8.79
爱无所依,10.22
爱无痕,9.37
爱是一场温柔幻觉,10.70
爱犬奇缘,629.92
爱的富硒泉,6.37
爱的重叠,58.94
爱遍全球,1153.85
父亲在远方,47.26
父子拳王,10.56
父母的城市生活,21.04
父爱永不止息,8.45
爷爷的牛背梁,26.28
爸爸是个农民工,4.99
爸爸是仿生人,2.17
爸爸是外星人,499.87
爸爸的自行车,100.12
爸爸的谎言,11.21
爸爸，我懂你了,69.92
牛哥王华银,23.78
牛王,52.72
牧民省长尕布龙,28.67
牧蜂姑娘,340.80
特别的爸爸,24.59
特工妈咪,36.47
特技狂人,872.58
特殊角色,98.75
特种部队：蛇眼起源,1141.16
特警队,5695.00
犬爱,11.26
犯罪现场,25504.86
狂暴凶狮,4431.30
狃花女,17.94
狐踪谍影,108.88
狗果定理,110.30
狗眼看人心,1861.04
狗神,1680.25
狗阵,3062.71
狙击手,60080.78
独家头条,500.87
独家头条之初露锋芒,15.09
独行月球,293177.63
狭路“箱”逢,27.10
狮子吼,2.35
狮子王,82788.16
狼群,2804.35
狼行者,1307.09
猎屠,1254.85
猎心之血亲,45.57
猎杀,1.86
猎杀T34,2265.89
猎毒行动：终极对决,0.82
猎盗者之彼岸花,10.08
猎袭,1.70
猎袭2,0.94
猛龙出击,14.78
猩球崛起：新世界,20874.73
猪八戒·传说,6363.38
猪猪侠·不可思议的世界,3542.17
猪猪侠大电影·恐龙日记,7927.19
猪猪侠大电影·星际行动,5463.15
猪猪侠大电影·海洋日记,2846.06
猪迪克之蓝海奇缘,337.58
猫公主苏菲,107.03
猫和老鼠,10461.07
猫狗武林,366.57
猴脸,1.88
玄夜狐影,127.36
玉珠串（戏曲、高甲戏）,14.83
玉面.琴师（上）,72.44
玉面琴师（下）,2.15
王牌二哈,183.38
王者盛宴,3.88
王良军长,281.45
玛纳斯人之失落的秘境,2.72
玩具总动员4,20051.18
玩转门神,13.25
环海战记,2.06
珍·古道尔的传奇一生,317.68
珍珠,14.38
珠峰队长,187.77
理查德·朱维尔的哀歌,568.98
瑞喜爱小白,29.34
璀璨薪火3D,13.89
生命中最特别的朋友,25.71
生命之轮,1.23
生命如花爱如蜜,3.08
生命底色,9.22
生命的感叹号,13.35
生命的河,1.15
生命禁区,1.27
生无可恋的奥托,187.63
生机,9.09
生死下一秒,12.78
生死坚守,21.99
生死搏斗,3.32
生死权杖,15.37
生死赛车,52.61
生生,8.48
田园时代,299.74
申纪兰,453.70
电力之战,506.04
男神游戏,1.52
画个圈圈之摩天轮,4.01
画布上的起跑线,9.93
画魔人,204.02
疯了！桂宝之三星夺宝,1174.66
疯狂一家秀,1.65
疯狂丑小鸭2靠谱英雄,368.31
疯狂元素城,11415.34
疯狂原始人2,34820.56
疯狂大营救,86.29
疯狂小世界,93.90
疯狂斗牛场,211.07
疯狂星期一,44.98
疯狂梦幻城,515.16
疯狂海盗团,360.42
疯狂熊孩子2,322.99
疯狂的外星人,221183.63
疯狂的契约,3.01
疯狂的拳头,131.43
疯狂的麦克斯：狂暴女神,6060.45
疯狂绑架,0.66
疯狂艺术村,349.29
疲城,293.30
疾速营救,46.38
白于山之歌,2.48
白云之下,150.15
白塔之光,691.42
白巷里,5.58
白床单,4.16
白日之下,1108.75
白昼如焚,5.92
白月光下,14.72
白牙,58.54
白狮奇缘,87.70
白蛇2：青蛇劫起,57881.98
白蛇之恋,4.31
白蛇传·情,2056.85
白蛇：浮生,38946.85
白蛇：缘起,44701.56
白门柳,4.87
白马王子,192.65
百变马丁：怪兽大作战,587.22
皇后乐队蒙特利尔现场演唱会,254.07
皮壳之下,12.93
皮皮虾总裁,1.09
皮皮鲁与鲁西西之罐头小人,5583.22
皮皮鲁和鲁西西之309暗室,359.64
盐湖计划,6.40
监护风云,84.32
盒子的秘密,118.91
盗听者,1.59
盗梦特攻队,0.00
盛夏未来,38632.86
盟军敢死队,517.62
盲琴师,105.40
盲舞,186.03
直击现场,10.79
直播攻略,6.36
直立象传说,85.84
相亲时代,10.88
相见在鸾峰桥,5.47
看不见的他们,120.41
看不见的小孩,1758.44
看不见的朋友,65.79
看不见的顶峰,114.78
真·三国无双,1463.28
真假美猴王之大圣无双,114.65
真爱不迟到,89.16
真爱百分百,106.22
真相漩涡,68.23
睿王与庄妃（粤剧）,2.07
瞒天过海,16449.69
瞽师,4.03
矩阵梦迷宫,18.27
矮婆,18.75
石狮之舞,27.13
石狮爱情故事,3.53
破冰72小时,7.38
破冰少年,6.07
破战,10.59
破晓徂徕山,1.58
硬核老爸,21.48
碟中谍7：致命清算（上）,34686.09
碟仙,5410.16
碧血丹砂,1.08
碧血锦衣卫,2.66
碧血黎明,2.55
祈祷落幕时,6709.84
祝你幸福！,5995.57
神偷奶爸4,41515.54
神兜兜和奶爸,41.84
神兽魔王大作战,1.46
神剑奇缘,10.82
神奇乐园历险记,4754.11
神奇动物学校,10.44
神奇动物：邓布利多之谜,18762.26
神奇女侠1984,16433.52
神探伍士德,44.12
神探大战,70895.29
神探罗蒙,41.20
神探罗蒙3,102.40
神探蒲松龄,15376.85
神秘友友,206.28
神秘海域,12292.01
禁锢,131.24
福星高照朱小八,452.08
禹城秘事,0.00
禹神传之王者少年,507.75
离秋,20.50
秀美人生,2073.03
秃涂陌路,28.46
秋田,107.39
秘不可言,144.54
秘密拼图,3.03
秘密花园,15.69
秘密菜园,1.96
秘密访客,21483.92
秦明·生死语者,2992.62
秦淮河边一间房,8.14
移情高手,152.00
稍微想起一些,197.56
空中之城,107.50
空天战队之星兽大战,19.08
空巢也疯狂,21.20
穿越丝路的花雨,1.24
穿越烽火,71.46
穿过寒冬拥抱你,93283.88
穿过月亮的旅行,4521.76
穿过雨林,34.29
穿靴子的猫2,4673.80
突围,18.31
突破口,514.36
站着等你三千年,4.77
童年周恩来,1081.44
童童的风铃密室,695.02
童话·世界,144.17
笙声,202.62
笨鸟大冒险,490.64
第一次的离别,467.77
第一炉香,6421.62
第三声钟响,1.13
第二十条,244890.04
第八个嫌疑人,43750.17
第十一回,7382.21
第四面墙,130.85
等你回家,13.84
等你醒来,11.60
等儿的湿地,0.00
等待秋沙鸭,2.09
简爱之约,25.42
篮球冠军,48.02
精灵小王子,20.98
精灵怪物：疯狂之旅,612.54
精灵旅社4：变身大冒险,10643.46
素人特工,2241.49
紧急救援,47009.65
紧急营救,5.17
紫罗兰永恒花园外传：永远与自动手记人偶,4824.97
红光,38.10
红尖尖,43.19
红巴山,25.59
红旗渠之归来仍是少年,82.63
红旗渠之恋,1.28
红星照耀中国,3190.33
红星闪亮,4.50
红月亮森林,2.53
红楼梦之金玉良缘,548.55
红毯先生,1011.25
红船,904.70
红色一号：冬日行动,2138.14
红色之子·单刀赴会,44.12
红色冲浪板,149.88
红色土司,56.72
红色圩场,24.98
红色裁判,1.43
红色警戒,35.40
红花绿叶,20.13
红豆杉之恋,2.13
红辣椒,81.30
红麦,6.63
纹身,184.64
纽约的一个雨天,1265.04
终极代码,1133.86
终结者：黑暗命运,35165.67
绑架游戏,1241.58
绝地战警：生死与共,3670.69
绝地战警：疾速追击,3501.68
绝地追击,2898.54
绝地重生,593.11
绝望主夫,30347.56
绝杀慕尼黑,8979.62
维和防暴队,51171.00
绿叶对根的情意,19.71
绿皮书,47721.47
绿色合伙人,3.77
绿色的声音,113.58
绿茵之外,117.64
缉魂,9824.67
网络凶铃,1468.71
罗宾汉：起源,436.46
罗小黑战记,31294.38
罗曼蒂克之城,34.90
罗长姐,13.35
罗马,505.47
美丽乡约,1.21
美丽人生,5989.98
美人何处,5.00
美人记·昭君,1.00
美人鱼的夏天,48.63
美国内战,1666.71
美好人间,165.73
翦伯赞,1.46
翱翔雄心,127.61
翻转的手心,35.88
老七,3.79
老公去哪了,84.67
老喇叭新传,2.12
老墙,28.05
老师·好,34742.07
老师，你会不会回来,6.74
老师，别哭,186.38
老师，您好！,4.54
老杨和他的南东块,3.86
老枪,554.73
老爷保号,296.36
老鹰抓小鸡,3473.17
耿二驴那些事儿,2.39
背后的凶手,2.49
胜券在握,18411.39
胡杨林之恋,23.24
胡柚娃,13.35
脐带,158.14
脑洞大开,311.51
致命复活,49.31
致命梦魇,96.55
致命记忆之花开双生,282.03
致我的陌生恋人,901.14
致敬英雄,369.10
舒克贝塔·五角飞碟,6162.22
舞动吧！少年,5.28
舞动奇迹,2.73
舞台,20.60
舞者,249.36
航海王：强者天下,1230.18
航海王：狂热行动,20360.07
航海王：红发歌姬,18520.10
色彩中国,67.39
芒咕的动物城,561.07
芙蓉渡,301.33
芬芳,51.77
芭比,25232.21
芭比公主历险记,126.60
花儿与歌声,360.76
花儿为什么这样红,598.81
花千骨,649.58
花开那年,17.56
花开高黎贡,51.83
花木兰,27562.71
花束般的恋爱,9032.34
花椒之味,172.09
花渡好时光,5.01
花滑女王2：爸爸我爱你,72.22
花火时光,47.89
芳草满天涯,45.52
若能与你共乘海浪之上,1349.03
英歌魂,22.13
英雄无悔,0.10
英雄有梦,42.23
英雄武松,1.32
英雄若兰,52.01
范蠡献西施（粤剧）,8.00
茶啊二中,34596.13
草原大作战,106.21
草台班子：套路奇兵,9.40
草木人间,12177.94
荒原,167.98
荒野召唤1,1.28
荒野咖啡馆,12.56
荒野机器人,4819.82
荒野狂兽,45.37
荞麦疯长,5214.03
荣耀时刻,24.13
药·不要,64.62
莫斯科行动,66187.65
莲花池,5.52
菊次郎的夏天,902.97
菲凡记忆,8.92
萌宠流浪记,1130.15
萌宠特工队,853.07
萌鸡小队：萌闯新世界,1926.96
萌鼠大冒险,18.63
萤火奇兵2：小虫不好惹,361.60
萤火虫的天空,117.71
萨瓦流淌的方向,17.46
落凡尘,3322.66
落地生根,87.06
蓝色生死恋,149.25
蓝色百褶裙,3.14
蓝色的卡布奇诺,94.87
蓝色禁区：凪,3336.04
蓝色防线,559.60
蓦然回首,5354.81
蕃薯浇米,22.49
薪火相传,13.53
藏羚王之宝贝日记—极地追踪,0.81
虫林大作战,774.49
蚁人与黄蜂女：量子狂潮,26934.77
蛋宝大营救,537.91
蜂鸟计划,329.67
蜘蛛侠：纵横宇宙,35636.35
蜘蛛侠：英雄远征,139523.43
蜘蛛夫人：超感觉醒,582.80
蜜熊的音乐奇旅,685.03
蜡笔小新：我们的恐龙日记,11141.75
蜡笔小新：新次元！超能力大决战,11755.34
蜻蜓少年,21.83
血战敖伦布拉格,15.23
血战许昌,11.31
血色活字,10.58
街娃儿,10.49
衣柜里的冒险王,362.54
表白吧！在毕业前,369.21
被光抓走的人,7056.68
被我弄丢的你,21165.74
被遗忘的童年游戏,8.62
裸绞,10.00
西南东北客,1.70
西府游击队,2.60
西施新传,4.39
西河恋歌,19.42
西游记之七十二变,832.10
西游记之再世妖王,11230.92
西游鱼之海底大冒险,101.02
要活着去天堂,51.35
觅渡,1776.28
角斗士2,3855.51
解密,24150.73
解放·终局营救,4162.28
触不可及,2366.31
警告,63.07
警察特训营之绝对危机,1.40
订亲,46.45
让花儿绽放,2.51
让这首歌作证,33.66
记忆,254.38
记忆中的微光,1.29
记忆切割,390.66
记忆消失前,6.70
许愿神龙,15783.04
设计未来,1.21
证明,20.47
诗与真,7.15
诗人,98.28
诗和远方的聚会,8.41
诛仙Ⅰ,40489.85
话梦光影,96.45
诡摇铃,235.83
误杀,118660.00
误杀2,111504.07
误杀瞒天记,3128.70
误闯隐形岛,2.18
请别相信她,5216.17
请叫我龙师傅,2.00
诺亚方舟漂流记2,149.55
读心者之深海,54.14
谁偷了我的粉兔子,16.21
谁开的枪,2.04
谁说我不靠谱,101.44
谁说我们不会爱2,19.69
调酒师,1.00
调音师,32341.87
谈判专家,11610.81
谯国夫人（粤剧）,1111.10
谷子地,3.92
谷文昌的故事,2.47
谷魂,40.10
象县剿匪记,7.99
贝肯熊2：金牌特工,8092.25
贝肯熊：火星任务,8083.08
贞胜,2.61
负负得正,6994.68
贫民窟之王,41.39
赛尔号大电影7：疯狂机器城,2409.17
赤焰,672.35
赤狐书生,18565.54
赤砂,1.03
走出炭子冲,0.59
走走停停,10029.24
起初,1.20
超级特战队,37.49
超级的我,930.38
超级英雄美猴王：齐天儿,456.00
超级飞侠：乐迪加速,6037.34
超级马力欧兄弟大电影,17041.36
超能一家人,29947.88
超萌时空宝贝,7.69
超越,14270.86
越域重生,6.83
越界,1449.44
足球·少年,16.85
足球爸爸,3.58
跟世俗说再见,425.19
跨过鸭绿江,10170.84
跳吧！拉丁舞,5.22
跳水吧，少年郎！,122.23
跳舞吧 爸爸,1.80
跳舞吧！大象,3845.85
踢出个未来,29.29
踢球吧孩子,2.14
踢球吧少年,37.62
踮起脚尖说爱你,38.52
车库,68.07
转型团伙,1670.70
转生大作战,309.14
辉夜大小姐想让我告白：天才们的恋爱头脑战,397.23
辣警霸王花：澳门行动,10.47
边境迷雾,13.96
边疆军魂,0.00
边缘行者,13958.03
达琳达,10.51
达芬奇大冒险：拯救蒙娜丽莎,199.77
达荷美女战士,7.52
达道里,396.02
过山榜,26.63
过春天,919.45
过昭关,26.16
还是觉得你最好,10365.21
还是觉得你最好2,1627.89
这个杀手不太冷,1704.48
这个杀手不太冷静,261555.55
这么多年,30118.02
进京城,1451.76
进城记,417.84
进球吧！少年,64.66
远山的等待,1.48
远山花开,83.61
远方有多远,126.34
远方的风,105.25
迟来的告白,59.44
迪丽丽的奇幻巴黎,65.53
迫降乌江,25.00
迷你世界之觉醒,2720.01
迷你特工队之拯救恐龙王,2384.42
迷你特工队之汉堡大作战,1133.95
迷失1231,134.07
迷失之城,248.13
迷妹罗曼史,239.63
迷局伏香,61.89
迷途重生,189.10
迷雾追凶,225.98
追你而来,81.23
追光,48.13
追光万里,270.72
追凶十九年,467.84
追月,116.38
追梦险途,90.71
追球,4.65
追缉,2082.21
追虎擒龙,24364.65
追龙Ⅱ,30173.99
送你一朵小红花,143248.38
送我上青云,2936.86
逃出白垩纪,655.14
逆博孤城,1.11
逆境追凶,3.20
逆流大叔,67.95
逆罪,23.11
逆行人生,34212.36
逆鳞,17537.51
逗爱熊仁镇,630.03
通往夏天的隧道，再见的出口,1682.42
通往春天的列车,322.76
速度与激情10,96531.50
速度与激情9,133117.15
速度与激情：特别行动,139867.30
速度与爱情,55.23
造梦之家,221.10
遇见你,7733.04
遇见你之后,1651.44
遇见喵星人,116.26
遇见明天,3.00
遥远的牧驼人,5.00
邓小平小道,345.97
邓恩铭（京剧）,1.42
那一夜，我给你开过车,99.43
那个不为人知的故事,11313.77
那人那事,54.08
那座桥,12.07
那时的你,446.06
那时风华,1556.84
那树繁花,1.54
邻座的怪同学,216.81
邻里美好的一天,196.50
郊区的鸟,46.29
郭富山,2.99
醒来2,369.38
醒来之爱的呼唤,283.48
里奇不眠夜,37.49
里斯本丸沉没,4342.60
重山之外,118.53
重整河山待后生,1.45
重生,46459.87
重生小确幸,211.47
野夏天,66.25
野孩子,24122.52
野性的呼唤,3427.84
野猪,79.31
野蛮人入侵,67.89
野马分鬃,1165.74
金凤湾的笑声,0.35
金刚川,112175.98
金剑行动,1.23
金手指,57196.78
金玉满堂之一网不捞鱼,2.95
金的音像店,176.57
金腰带,66.23
金色少年,13.34
金色荣耀,65.33
金色面具英雄,345.84
金莲（戏曲 广东汉剧）,2.58
金钱堡垒,311.15
金陵御猫,113.55
钟馗伏妖,53.60
钢铁意志,8979.05
钢铁飞龙之奥特曼崛起,4031.36
钱在囧途,2.44
钱塘风云,24.62
铁拳行动,7.19
铁拳雄心,35.30
铁血阳泉,95.60
铁道英雄,14134.56
铁马英歌,4.17
铃芽之旅,80413.02
铤而走险,4322.31
银河写手,294.55
银河宝贝,28.88
银河护卫队3,59966.66
银河补习班,77844.72
银行家,1934.32
错乱空间,155.55
错爱迷踪,499.29
错过你的那些年,4826.34
锦绣河山,7.55
镜世界,230.26
长安三万里,178808.17
长安伏妖,292.27
长安诡事传,106.92
长安道,2578.38
长官传奇,41.40
长寿花,4.02
长征一家人,12.46
长沙夜生活,2052.63
长津湖,572146.29
长津湖之水门桥,404480.70
长空之王,84047.67
长风万里,15.80
门前宝地,192.82
门锁,24118.79
闪亮的军号,9.88
闪电侠,18268.90
闪耀少年之空中接力,68.67
闪耀的星空,83.66
闯堂兔3囧囧时光机,482.84
间谍过家家 代号：白,29205.35
闺蜜心窍,378.89
队长老爸,4.53
阳光劫匪,4371.15
阳光姐妹淘,8722.41
阳光照耀塔什库尔干,4.35
阳台上,390.80
阿丽塔：战斗天使,88967.00
阿凡达：水之道,163840.27
阿拉丁,36777.19
阿狸,313.16
阿盖尔：神秘特工,1538.97
阿莫阿依,481.22
阿里巴巴与神灯,1229.53
陀螺女孩,101.07
陈真,160.14
陌上花开,10.65
陌路徒者,50.89
陌路惊魂,147.74
陌路无期,190.31
陌路狂刀,53.82
除暴,53410.56
陨石江湖：天降20亿,96.80
险诈,2.65
陪你在全世界长大,90.10
陪你很久很久,9256.18
陵水谣,0.04
随烟而散,0.75
随风飘散,23.39
隐入尘烟,9324.36
隐形人,2566.57
隧道尽头,706.12
难以置信,151.22
难忘1935,1.94
雀斑公主,1402.48
雄狮少年,23241.92
雏凤新声,5.13
雪人奇缘,12128.12
雪域少年,645.25
雪岭猎人传说,1.03
雪暴,2797.72
雪豹,833.96
雪豹和她的朋友们,238.86
零度极限,0.19
零零后,403.31
雷米奇遇记,54.81
雷雨,96.99
雷霆沙赞！,28853.03
雷霆沙赞！众神之怒,4079.64
霹雳娇娃,7520.14
青年邓颖超,20.73
青春不悔,4.80
青春之骏,212.71
青春作伴好还乡,1039.25
青春再见青春,127.38
青春季,14.81
青春就这么过,9.78
青春是首歌,13.73
青春梦幻之穷小子的幸福,38.31
