筛选结果 (区间: 2023-09-01 ~ 2024-9-30)
============================================================

【烂片 (高开低走)】 共 146 部:
  - 《千里送鹤》 (2023-11-16): 总票房 0.01亿, 首日排片 31.0%
  - 《爱的重叠》 (2024-01-12): 总票房 0.01亿, 首日排片 13.0%
  - 《一千零一夜之拯救黄金城》 (2024-07-13): 总票房 0.01亿, 首日排片 13.0%
  - 《喜马拉雅之灵》 (2023-11-17): 总票房 0.01亿, 首日排片 42.0%
  - 《陌路狂刀》 (2024-03-02): 总票房 0.01亿, 首日排片 100.0%
  - 《生死赛车》 (2024-03-16): 总票房 0.01亿, 首日排片 97.0%
  - 《爱在陇南》 (2024-04-18): 总票房 0.01亿, 首日排片 16.0%
  - 《泪光中的妈妈》 (2024-05-11): 总票房 0.00亿, 首日排片 40.0%
  - 《家有儿女之神犬当家》 (2024-01-20): 总票房 0.00亿, 首日排片 45.0%
  - 《疾速营救》 (2023-12-02): 总票房 0.00亿, 首日排片 41.0%
  - 《疯狂星期一》 (2024-04-19): 总票房 0.00亿, 首日排片 74.0%
  - 《森林飞侠》 (2024-09-15): 总票房 0.00亿, 首日排片 14.0%
  - 《寻秘自然：地球往事》 (2024-07-14): 总票房 0.00亿, 首日排片 11.0%
  - 《踢球吧少年》 (2023-09-08): 总票房 0.00亿, 首日排片 83.0%
  - 《森巴幸福岛之我要回家》 (2024-01-27): 总票房 0.00亿, 首日排片 100.0%
  - 《黄埔军人》 (2024-06-16): 总票房 0.00亿, 首日排片 70.0%
  - 《六号银像》 (2024-05-24): 总票房 0.00亿, 首日排片 43.0%
  - 《假如爱情欺骗了你》 (2024-04-01): 总票房 0.00亿, 首日排片 17.0%
  - 《毒蜂》 (2023-09-15): 总票房 0.00亿, 首日排片 100.0%
  - 《大话情圣》 (2024-03-08): 总票房 0.00亿, 首日排片 100.0%
  - 《你的约定》 (2024-01-12): 总票房 0.00亿, 首日排片 82.0%
  - 《洋子的困惑》 (2023-10-28): 总票房 0.00亿, 首日排片 100.0%
  - 《不动声色》 (2023-11-17): 总票房 0.00亿, 首日排片 24.0%
  - 《踢出个未来》 (2024-09-28): 总票房 0.00亿, 首日排片 70.0%
  - 《妈妈和七天的时间》 (2024-05-08): 总票房 0.00亿, 首日排片 40.0%
  - 《乡见未晚》 (2024-09-13): 总票房 0.00亿, 首日排片 23.0%
  - 《过山榜》 (2023-11-24): 总票房 0.00亿, 首日排片 12.0%
  - 《流水落花》 (2023-09-15): 总票房 0.00亿, 首日排片 19.0%
  - 《韦驮门》 (2024-07-13): 总票房 0.00亿, 首日排片 16.0%
  - 《一路向南》 (2024-05-17): 总票房 0.00亿, 首日排片 80.0%
  - 《乌蒙奇缘》 (2024-01-31): 总票房 0.00亿, 首日排片 61.0%
  - 《悬崖下72小时》 (2024-01-26): 总票房 0.00亿, 首日排片 35.0%
  - 《巧克力和酥油花》 (2024-07-09): 总票房 0.00亿, 首日排片 63.0%
  - 《又是充满希望的一天》 (2024-08-16): 总票房 0.00亿, 首日排片 14.0%
  - 《战歌行》 (2024-01-04): 总票房 0.00亿, 首日排片 20.0%
  - 《我想和你在一起》 (2024-08-16): 总票房 0.00亿, 首日排片 34.0%
  - 《寒单》 (2024-01-05): 总票房 0.00亿, 首日排片 54.0%
  - 《来日皆方长》 (2024-06-15): 总票房 0.00亿, 首日排片 51.0%
  - 《慧能前传》 (2024-09-10): 总票房 0.00亿, 首日排片 100.0%
  - 《何处生长》 (2024-08-31): 总票房 0.00亿, 首日排片 31.0%
  - 《长风万里》 (2024-04-25): 总票房 0.00亿, 首日排片 11.0%
  - 《与孩子一同成长》 (2024-09-10): 总票房 0.00亿, 首日排片 13.0%
  - 《国鼎魂（苏剧）》 (2024-03-25): 总票房 0.00亿, 首日排片 39.0%
  - 《我们永远是我们》 (2024-08-03): 总票房 0.00亿, 首日排片 16.0%
  - 《四季童年》 (2023-12-15): 总票房 0.00亿, 首日排片 24.0%
  - 《冒牌特工》 (2024-03-09): 总票房 0.00亿, 首日排片 63.0%
  - 《爸爸的谎言》 (2023-10-20): 总票房 0.00亿, 首日排片 95.0%
  - 《江米儿》 (2023-09-19): 总票房 0.00亿, 首日排片 27.0%
  - 《寻找消失的恋人》 (2024-03-22): 总票房 0.00亿, 首日排片 19.0%
  - 《心愿房间》 (2023-10-31): 总票房 0.00亿, 首日排片 57.0%
  - 《一代人师严修》 (2024-09-10): 总票房 0.00亿, 首日排片 11.0%
