电影名称,类型,上映日期,总票房(万),首日排片(%)
踢出个未来,烂片 (高开低走),2024-09-28,29.15,70.0
妈妈和七天的时间,烂片 (高开低走),2024-05-08,29.01,40.0
乡见未晚,烂片 (高开低走),2024-09-13,28.88,23.0
过山榜,烂片 (高开低走),2023-11-24,26.63,12.0
流水落花,烂片 (高开低走),2023-09-15,25.83,19.0
韦驮门,烂片 (高开低走),2024-07-13,25.74,16.0
一路向南,烂片 (高开低走),2024-05-17,25.22,80.0
乌蒙奇缘,烂片 (高开低走),2024-01-31,23.19,61.0
悬崖下72小时,烂片 (高开低走),2024-01-26,21.51,35.0
巧克力和酥油花,烂片 (高开低走),2024-07-09,21.47,63.0
又是充满希望的一天,烂片 (高开低走),2024-08-16,18.83,14.0
战歌行,烂片 (高开低走),2024-01-04,18.16,20.0
我想和你在一起,烂片 (高开低走),2024-08-16,17.32,34.0
寒单,烂片 (高开低走),2024-01-05,17.14,54.0
来日皆方长,烂片 (高开低走),2024-06-15,16.83,51.0
慧能前传,烂片 (高开低走),2024-09-10,15.82,100.0
何处生长,烂片 (高开低走),2024-08-31,15.46,31.0
长风万里,烂片 (高开低走),2024-04-25,15.04,11.0
与孩子一同成长,烂片 (高开低走),2024-09-10,14.97,13.0
国鼎魂（苏剧）,烂片 (高开低走),2024-03-25,12.58,39.0
我们永远是我们,烂片 (高开低走),2024-08-03,12.5,16.0
四季童年,烂片 (高开低走),2023-12-15,12.49,24.0
冒牌特工,烂片 (高开低走),2024-03-09,12.19,63.0
爸爸的谎言,烂片 (高开低走),2023-10-20,11.19,95.0
江米儿,烂片 (高开低走),2023-09-19,10.51,27.0
寻找消失的恋人,烂片 (高开低走),2024-03-22,9.16,19.0
心愿房间,烂片 (高开低走),2023-10-31,9.1,57.0
一代人师严修,烂片 (高开低走),2024-09-10,8.65,11.0
记忆消失前,烂片 (高开低走),2024-09-20,6.53,17.0
七声,烂片 (高开低走),2023-09-13,6.25,21.0
密语者,烂片 (高开低走),2024-08-31,6.2,15.0
白昼如焚,烂片 (高开低走),2024-09-25,5.92,40.0
波依拉,烂片 (高开低走),2023-12-15,5.75,37.0
老师，您好！,烂片 (高开低走),2024-09-10,4.54,13.0
没有颜色的关系,烂片 (高开低走),2024-06-17,4.25,13.0
高中的我们,烂片 (高开低走),2024-03-22,4.14,63.0
最后一夜,烂片 (高开低走),2023-12-08,4.06,55.0
深城树下,烂片 (高开低走),2024-01-12,4.04,38.0
思念爱,烂片 (高开低走),2023-11-11,3.86,11.0
云雾女孩,烂片 (高开低走),2024-05-17,3.76,14.0
朱英国,烂片 (高开低走),2023-11-13,3.63,27.0
极限奇援,烂片 (高开低走),2024-01-12,3.52,16.0
八十九分之一的凶手,烂片 (高开低走),2024-04-26,3.5,16.0
逆境追凶,烂片 (高开低走),2023-12-15,3.2,12.0
舞动奇迹,烂片 (高开低走),2024-05-24,2.73,50.0
青檀,烂片 (高开低走),2024-03-22,2.43,100.0
误闯隐形岛,烂片 (高开低走),2024-01-20,2.18,48.0
兄弟，请注意,烂片 (高开低走),2023-12-31,1.93,19.0
功夫乒乓,烂片 (高开低走),2024-04-29,1.7,52.0
西南东北客,烂片 (高开低走),2024-02-24,1.7,11.0
第二十条,黑马 (低开高走),2024-02-10,244890.04,19.49
熊出没·逆转时空,黑马 (低开高走),2024-02-10,197995.72,11.27
坚如磐石,黑马 (低开高走),2023-09-28,134812.89,12.0
前任4：英年早婚,黑马 (低开高走),2023-09-28,101047.29,16.44
志愿军：雄兵出击,黑马 (低开高走),2023-09-28,82691.84,14.58
你想活出怎样的人生,黑马 (低开高走),2024-04-03,79067.35,19.93
异形：夺命舰,黑马 (低开高走),2024-08-16,78510.33,14.04
末路狂花钱,黑马 (低开高走),2024-05-01,78146.75,15.09
莫斯科行动,黑马 (低开高走),2023-09-29,66187.65,13.57
周处除三害,黑马 (低开高走),2024-03-01,64822.47,8.98
九龙城寨之围城,黑马 (低开高走),2024-05-01,60444.65,9.44
金手指,黑马 (低开高走),2023-12-30,57196.78,16.12
